                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.636,                 1.5402,                  1.351,                0.31835,                0.43349,                0.32184,                0.15683,                 2.1418,                 2.1226,                 1.3799,             0.00056924,             0.00056924,             0.00056924
                     35,                 1.8382,                 1.6243,                 1.3916,                0.31835,                0.43349,                0.32184,                0.15683,                 2.1418,                 2.1226,                 1.3799,             0.00058499,             0.00058499,             0.00058499
                     36,                 1.6859,                 1.4558,                 1.2913,                0.53339,                0.37454,                 0.3589,                 0.1758,                 2.1214,                  1.889,                 1.3594,             0.00060066,             0.00060066,             0.00060066
                     37,                 1.6549,                 1.3789,                 1.2508,                0.53339,                0.37454,                 0.3589,                 0.1758,                 2.1214,                  1.889,                 1.3594,             0.00061627,             0.00061627,             0.00061627
                     38,                  1.578,                 1.4554,                 1.2543,                0.53339,                0.37454,                 0.3589,                 0.1758,                 2.1214,                  1.889,                 1.3594,              0.0006318,              0.0006318,              0.0006318
                     39,                 1.5125,                 1.4082,                 1.2412,                0.64157,                0.37728,                0.38179,                0.16674,                 2.1174,                 1.7535,                 1.3516,             0.00064727,             0.00064727,             0.00064727
                     40,                 1.5979,                 1.3484,                 1.2902,                0.64157,                0.37728,                0.38179,                0.16674,                 2.1174,                 1.7535,                 1.3516,             0.00066266,             0.00066266,             0.00066266
                     41,                 1.5359,                 1.3122,                 1.2219,                0.64157,                0.37728,                0.38179,                0.16674,                 2.1174,                 1.7535,                 1.3516,             0.00067798,             0.00067798,             0.00067798
                     42,                 1.4914,                 1.3255,                 1.2517,                 0.2634,                0.36561,                0.27301,                 0.1159,                 2.3252,                 2.4887,                 1.4333,             0.00069322,             0.00069322,             0.00069322
                     43,                 1.5616,                 1.4115,                 1.2188,                 0.2634,                0.36561,                0.27301,                 0.1159,                 2.3252,                 2.4887,                 1.4333,              0.0007084,              0.0007084,              0.0007084
