                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2918,                0.93901,                 1.1447,                0.50486,                0.47007,                0.50315,                0.25725,                 1.7967,                 1.4148,                 1.2086,               9.09e-06,               9.09e-06,               9.09e-06
                      2,                 1.2411,                0.94059,                 1.1023,                0.56173,                0.45409,                 0.4908,                0.25895,                 1.7718,                 1.4203,                 1.1979,             2.7216e-05,             2.7216e-05,             2.7216e-05
                      3,                  1.338,                 1.0111,                 1.1759,                0.53996,                0.44152,                0.48314,                0.25742,                 1.7414,                 1.4339,                 1.1828,              4.527e-05,              4.527e-05,              4.527e-05
                      4,                 1.2135,                0.87808,                  1.127,                  0.385,                0.46708,                0.42842,                0.21698,                 1.7439,                  1.568,                 1.1954,             6.3252e-05,             6.3252e-05,             6.3252e-05
                      5,                 1.1954,                0.93057,                 1.1196,                0.46242,                0.39153,                0.43176,                 0.2117,                 1.7672,                 1.6061,                 1.2026,             8.1162e-05,             8.1162e-05,             8.1162e-05
                      6,                 1.2324,                0.86295,                 1.1283,                0.39547,                0.44784,                0.43528,                0.20563,                 1.8055,                 1.6432,                 1.2046,                9.9e-05,                9.9e-05,                9.9e-05
                      7,                 1.1969,                0.83903,                 1.1271,                0.40168,                0.64545,                0.46254,                0.21539,                  1.836,                 1.6223,                 1.2148,             0.00011677,             0.00011677,             0.00011677
                      8,                 1.1864,                0.83468,                 1.1456,                0.42827,                0.48327,                0.48826,                0.23085,                 1.8022,                 1.5722,                 1.2114,             0.00013446,             0.00013446,             0.00013446
                      9,                 1.2504,                0.86258,                 1.1581,                0.43831,                 0.4489,                0.46396,                0.24142,                 1.7726,                 1.5333,                 1.2153,             0.00015208,             0.00015208,             0.00015208
                     10,                  1.156,                0.83046,                 1.0844,                0.39762,                0.47605,                 0.4569,                0.24304,                 1.7289,                 1.5743,                 1.2036,             0.00016963,             0.00016963,             0.00016963
                     11,                 1.2455,                0.84109,                 1.0788,                0.48128,                 0.4068,                0.48078,                 0.2593,                 1.7533,                 1.6027,                 1.2213,             0.00018711,             0.00018711,             0.00018711
                     12,                 1.2624,                0.93115,                  1.126,                0.48128,                 0.4068,                0.48078,                 0.2593,                 1.7533,                 1.6027,                 1.2213,             0.00020452,             0.00020452,             0.00020452
                     13,                 1.1694,                0.82798,                 1.0786,                0.55049,                0.38644,                0.48327,                0.25947,                   1.74,                 1.5802,                 1.2137,             0.00022185,             0.00022185,             0.00022185
                     14,                 1.1886,                0.82974,                 1.1081,                 0.4378,                0.41613,                0.47434,                0.23836,                 1.8165,                  1.572,                 1.2595,             0.00023911,             0.00023911,             0.00023911
                     15,                 1.1009,                0.80299,                 1.0975,                 0.4378,                0.41613,                0.47434,                0.23836,                 1.8165,                  1.572,                 1.2595,              0.0002563,              0.0002563,              0.0002563
                     16,                 1.1907,                 0.9437,                 1.1195,                0.37387,                0.47361,                0.45099,                0.22547,                 1.8275,                 1.6902,                 1.2575,             0.00027342,             0.00027342,             0.00027342
                     17,                 1.2219,                0.87156,                 1.1154,                0.39237,                0.45065,                0.46788,                0.22808,                 1.7668,                 1.6766,                 1.2106,             0.00029047,             0.00029047,             0.00029047
                     18,                 1.2872,                0.87972,                 1.1297,                0.39237,                0.45065,                0.46788,                0.22808,                 1.7668,                 1.6766,                 1.2106,             0.00030744,             0.00030744,             0.00030744
                     19,                 1.2674,                0.87127,                 1.1615,                0.45575,                0.44905,                0.48702,                0.22624,                 1.7775,                 1.6356,                  1.172,             0.00032434,             0.00032434,             0.00032434
                     20,                 1.1896,                0.83895,                 1.1273,                0.45575,                0.44905,                0.48702,                0.22624,                 1.7775,                 1.6356,                  1.172,             0.00034117,             0.00034117,             0.00034117
                     21,                 1.2514,                 0.8946,                 1.1715,                0.38311,                0.41814,                0.40315,                0.18447,                 1.8128,                 1.6963,                 1.1934,             0.00035793,             0.00035793,             0.00035793
                     22,                  1.142,                0.85923,                   1.11,                0.38311,                0.41814,                0.40315,                0.18447,                 1.8128,                 1.6963,                 1.1934,             0.00037462,             0.00037462,             0.00037462
